job,nextJobs,prevJobs,jobExec,isBase,path
PSTMCP0026,"PSTMCP0027, PSTMCP0028",PSTMCP0025,pstm-pe-krb-inr-billingincidentsp-01,FALSE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
PSTMCP0027,#N/A,PSTMCP0026,pstm-pe-spk-qlt-billingincidentsr-01,FALSE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
PSTMCP0028,PSTMCP0029,PSTMCP0026,pstm-pe-krb-inm-billingincidentsp-01,FALSE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
PSTMCP0029,PSTMCP0030,PSTMCP0028,pstm-pe-spk-qlt-billingincidentsm-01,FALSE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
PSTMCP0030,#N/A,PSTMCP0029,pstm-pe-dfs-rmv-hdfs-01,FALSE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
PSTMCP4001,PSTMCP4002,#N/A,pstm-pe-spk-qlt-cardlocks-01,TRUE,./xmls/Local/PSTM/CR-PESTMMEN-T02.xml
PSTMCP4002,PSTMCP4003,PSTMCP4001,pstm-pe-krb-inr-cardlockp-01,FALSE,./xmls/Local/PSTM/CR-PESTMMEN-T02.xml
PSTMCP4003,PSTMCP4004,PSTMCP4002,pstm-pe-spk-qlt-cardlockr-01,FALSE,./xmls/Local/PSTM/CR-PESTMMEN-T02.xml
PSTMCP4004,PSTMCP4005,PSTMCP4003,pstm-pe-krb-inm-cardlockp-01,FALSE,./xmls/Local/PSTM/CR-PESTMMEN-T02.xml
PSTMCP4005,PSTMCP4006,PSTMCP4004,pstm-pe-spk-qlt-cardlockm-01,FALSE,./xmls/Local/PSTM/CR-PESTMMEN-T02.xml
PSTMCP4006,#N/A,PSTMCP4005,pstm-pe-dfs-rmv-hdfs-01,FALSE,./xmls/Local/PSTM/CR-PESTMMEN-T02.xml
PSAGPP0I01,PSAGCP0H01,#N/A,multi_tpt.sh,TRUE,./xmls/Local/PSAG/CR-PESAGDIA-T02.xml
PSAGCP0H01,PSAGCP0I01,PSAGPP0I01,psag-pe-spk-qlt-custandgroupsmasters-01,FALSE,./xmls/Local/PSAG/CR-PESAGDIA-T02.xml
PSAGCP0I01,"PSAGCP0H02, PSAGCP0I02",PSAGCP0H01,psag-pe-krb-inr-custandgroupsmasterp-01,FALSE,./xmls/Local/PSAG/CR-PESAGDIA-T02.xml
PSAGCP0H02,#N/A,PSAGCP0I01,psag-pe-spk-qlt-custandgroupsmasterr-01,FALSE,./xmls/Local/PSAG/CR-PESAGDIA-T02.xml
PSAGCP0I02,PSAGCP0H03,PSAGCP0I01,psag-pe-krb-inm-custandgroupsmasterp-01,FALSE,./xmls/Local/PSAG/CR-PESAGDIA-T02.xml
PSAGCP0H03,#N/A,PSAGCP0I02,psag-pe-spk-qlt-custandgroupsmasterm-01,FALSE,./xmls/Local/PSAG/CR-PESAGDIA-T02.xml
PSAGCP0001,PSAGCP0002,#N/A,psag-pe-spk-qlt-relnshpbtwncustcogrps-01,TRUE,./xmls/Local/PSAG/CR-PESAGDIA-T02.xml
